Rate H2        Total H2            Rate O2        Total O2          Rate H2O2      Total H2O2 
17958745.1188, 0.0, 8926533.62032, 0.0, 308109.527341, 0.0 
17949050.0144, 1.79587451188e+13, 8921714.59342, 8.92653362032e+12, 307943.19311, 308109527341.0 
17939360.1439, 3.59077951332e+13, 8916898.16809, 1.78482482137e+13, 307776.948676, 616052720451.0 
17929675.5045, 5.3847155277e+13, 8912084.34293, 2.67651463818e+13, 307610.79399, 923829669127.0 
17919996.0934, 7.17768307815e+13, 8907273.11653, 3.56772307248e+13, 307444.729002, 1.23144046312e+12 
17910321.9078, 8.96968268749e+13, 8902464.4875, 4.45845038413e+13, 307278.753666, 1.53888519212e+12 
17900652.9448, 1.07607148783e+14, 8897658.45442, 5.34869683288e+13, 307112.867932, 1.84616394579e+12 
17890989.2016, 1.25507801727e+14, 8892855.0159, 6.23846267832e+13, 306947.071753, 2.15327681372e+12 
17881330.6755, 1.43398790929e+14, 8888054.17054, 7.12774817991e+13, 306781.365079, 2.46022388547e+12 
17871677.3636, 1.61280121605e+14, 8883255.91693, 8.01655359697e+13, 306615.747862, 2.76700525055e+12 
17862029.263, 1.79151798968e+14, 8878460.25368, 8.90487918866e+13, 306450.220055, 3.07362099841e+12 
17852386.371, 1.97013828231e+14, 8873667.17939, 9.79272521403e+13, 306284.781609, 3.38007121847e+12 
17842748.6848, 2.14866214602e+14, 8868876.69266, 1.0680091932e+14, 306119.432475, 3.68635600008e+12 
17833116.2015, 2.32708963287e+14, 8864088.7921, 1.15669796012e+14, 305954.172605, 3.99247543255e+12 
17823488.9184, 2.50542079488e+14, 8859303.4763, 1.24533884804e+14, 305789.001952, 4.29842960516e+12 
17813866.8325, 2.68365568407e+14, 8854520.74388, 1.33393188281e+14, 305623.920467, 4.60421860711e+12 
17804249.9412, 2.86179435239e+14, 8849740.59343, 1.42247709025e+14, 305458.928102, 4.90984252757e+12 
17794638.2417, 3.03983685181e+14, 8844963.02357, 1.51097449618e+14, 305294.024809, 5.21530145568e+12 
17785031.731, 3.21778323422e+14, 8840188.0329, 1.59942412642e+14, 305129.210539, 5.52059548049e+12 
17775430.4065, 3.39563355153e+14, 8835415.62003, 1.68782600674e+14, 304964.485245, 5.82572469103e+12 
17765834.2652, 3.5733878556e+14, 8830645.78357, 1.77618016295e+14, 304799.848879, 6.13068917627e+12 
17756243.3045, 3.75104619825e+14, 8825878.52212, 1.86448662078e+14, 304635.301393, 6.43548902515e+12 
17746657.5215, 3.92860863129e+14, 8821113.8343, 1.952745406e+14, 304470.842738, 6.74012432654e+12 
17737076.9135, 4.10607520651e+14, 8816351.71872, 2.04095654435e+14, 304306.472867, 7.04459516928e+12 
17727501.4775, 4.28344597564e+14, 8811592.17398, 2.12912006153e+14, 304142.191731, 7.34890164215e+12 
17717931.2109, 4.46072099042e+14, 8806835.19871, 2.21723598327e+14, 303977.999284, 7.65304383388e+12 
17708366.1109, 4.63790030253e+14, 8802080.7915, 2.30530433526e+14, 303813.895476, 7.95702183316e+12 
17698806.1746, 4.81498396364e+14, 8797328.95099, 2.39332514317e+14, 303649.88026, 8.26083572864e+12 
17689251.3993, 4.99197202538e+14, 8792579.67578, 2.48129843268e+14, 303485.953589, 8.5644856089e+12 
17679701.7822, 5.16886453938e+14, 8787832.96448, 2.56922422944e+14, 303322.115415, 8.86797156249e+12 
17670157.3204, 5.3456615572e+14, 8783088.81571, 2.65710255909e+14, 303158.365689, 9.1712936779e+12 
17660618.0113, 5.5223631304e+14, 8778347.2281, 2.74493344724e+14, 302994.704364, 9.47445204359e+12 
17651083.8521, 5.69896931052e+14, 8773608.20025, 2.83271691952e+14, 302831.131392, 9.77744674795e+12 
17641554.8399, 5.87548014904e+14, 8768871.73078, 2.92045300153e+14, 302667.646726, 1.00802778793e+13 
17632030.9719, 6.05189569744e+14, 8764137.81832, 3.00814171883e+14, 302504.250318, 1.03829455261e+13 
17622512.2455, 6.22821600716e+14, 8759406.46148, 3.09578309702e+14, 302340.94212, 1.06854497764e+13 
17612998.6578, 6.40444112961e+14, 8754677.65888, 3.18337716163e+14, 302177.722084, 1.09877907185e+13 
17603490.206, 6.58057111619e+14, 8749951.40914, 3.27092393822e+14, 302014.590164, 1.12899684406e+13 
17593986.8874, 6.75660601825e+14, 8745227.7109, 3.35842345231e+14, 301851.546311, 1.15919830308e+13 
17584488.6992, 6.93254588712e+14, 8740506.56276, 3.44587572942e+14, 301688.590478, 1.18938345771e+13 
17574995.6387, 7.10839077411e+14, 8735787.96335, 3.53328079505e+14, 301525.722618, 1.21955231675e+13 
17565507.703, 7.2841407305e+14, 8731071.9113, 3.62063867468e+14, 301362.942682, 1.24970488902e+13 
17556024.8895, 7.45979580753e+14, 8726358.40523, 3.7079493938e+14, 301200.250624, 1.27984118328e+13 
17546547.1952, 7.63535605643e+14, 8721647.44376, 3.79521297785e+14, 301037.646395, 1.30996120835e+13 
17537074.6176, 7.81082152838e+14, 8716939.02553, 3.88242945229e+14, 300875.12995, 1.34006497299e+13 
17527607.1537, 7.98619227455e+14, 8712233.14916, 3.96959884254e+14, 300712.701239, 1.37015248598e+13 
17518144.8009, 8.16146834609e+14, 8707529.81327, 4.05672117403e+14, 300550.360217, 1.40022375611e+13 
17508687.5564, 8.3366497941e+14, 8702829.0165, 4.14379647217e+14, 300388.106835, 1.43027879213e+13 
17499235.4174, 8.51173666967e+14, 8698130.75748, 4.23082476233e+14, 300225.941046, 1.46031760281e+13 
